"id","chart_template_id/id","code_prefix_start","code_prefix_end","name"
"kp_rrif_acc_group_136","l10n_hr_coa_rrif_2015_template","1361","1369","136 - Potraživanja za prodaju na potrošački kredit"
"kp_rrif_acc_group_137","l10n_hr_coa_rrif_2015_template","1371","1379","137 - Potraživanja od poslovnih jedinica u inozemstvu"
"kp_rrif_acc_group_138","l10n_hr_coa_rrif_2015_template","1381","1389","138 - Ostala poslovna potraživanja"
"kp_rrif_acc_group_139","l10n_hr_coa_rrif_2015_template","1391","1399","139 - Vrijednosno usklađenje potraživanja od zaposlenih članova društva i ostalih potraživanja"
"kp_rrif_acc_group_14","l10n_hr_coa_rrif_2015_template","141","149","14 - POTRAŽIVANJA OD DRŽAVE ZA POREZE, CARINU I DOPRINOSE"
"kp_rrif_acc_group_140","l10n_hr_coa_rrif_2015_template","1401","1409","140 - Porez na dodanu vrijednost"
"kp_rrif_acc_group_1400","l10n_hr_coa_rrif_2015_template","14001","14009","1400 - Pretporez po primljenim isporukama i predujmovima u RH"
"kp_rrif_acc_group_14001","l10n_hr_coa_rrif_2015_template","140011","140019","14001 - Pretporez po ulaznim računima"
"kp_rrif_acc_group_14002","l10n_hr_coa_rrif_2015_template","140021","140029","14002 - Pretporez iz predujmova"
"kp_rrif_acc_group_14003","l10n_hr_coa_rrif_2015_template","140031","140039","14003 - Ispravci pretporeza"
"kp_rrif_acc_group_1401","l10n_hr_coa_rrif_2015_template","14011","14019","1401 - Pretporez iz prenesene porezne obveze u tuzemstvu - 25%"
"kp_rrif_acc_group_1402","l10n_hr_coa_rrif_2015_template","14021","14029","1402 - Pretporez od stjecanja dobara unutar EU"
"kp_rrif_acc_group_1403","l10n_hr_coa_rrif_2015_template","14031","14039","1403 - Pretporez od primljenih usluga iz EU"
"kp_rrif_acc_group_1404","l10n_hr_coa_rrif_2015_template","14041","14049","1404 - Pretporez od primljenih isporuka dobara i usluga od poreznih obveznika bez sjedišta u RH"
"kp_rrif_acc_group_1405","l10n_hr_coa_rrif_2015_template","14051","14059","1405 - PDV pri uvozu dobara"
"kp_rrif_acc_group_1407","l10n_hr_coa_rrif_2015_template","14071","14079","1407 - Potraživanja za razliku većeg pretporeza od obveza"
"kp_rrif_acc_group_1408","l10n_hr_coa_rrif_2015_template","14081","14089","1408 - Pretporez koji još nije moguće priznati"
"kp_rrif_acc_group_1409","l10n_hr_coa_rrif_2015_template","14091","14099","1409 - Pretporez u drugim zemljama u kojima je porezni obveznik registriran za potrebe PDV-a (moguća analitika po zemljama)"
"kp_rrif_acc_group_141","l10n_hr_coa_rrif_2015_template","1411","1419","141 - Potraživanja za porez i prirez na dohodak iz plaća i drugih primanja"
"kp_rrif_acc_group_142","l10n_hr_coa_rrif_2015_template","1421","1429","142 - Potraživanja za više plaćene doprinose iz plaća i na plaće"
"kp_rrif_acc_group_143","l10n_hr_coa_rrif_2015_template","1431","1439","143 - Potraživanja za porez na dobitak i po odbitku"
"kp_rrif_acc_group_144","l10n_hr_coa_rrif_2015_template","1441","1449","144 - Potraživanja za posebne poreze (akcize - trošarine) i dr. poreze od države"
"kp_rrif_acc_group_145","l10n_hr_coa_rrif_2015_template","1451","1459","145 - Potraživanja za plaćenu članarinu turističkim zajed."
"kp_rrif_acc_group_146","l10n_hr_coa_rrif_2015_template","1461","1469","146 - Potraživanja za članarine komori (HGK ili HOK)"
"kp_rrif_acc_group_147","l10n_hr_coa_rrif_2015_template","1471","1479","147 - Potraživanja za carinu i više plaćene carinske pristojbe"
"kp_rrif_acc_group_148","l10n_hr_coa_rrif_2015_template","1481","1489","148 - Potraživanja za županijski i općinski (gradski) porez"
"kp_rrif_acc_group_149","l10n_hr_coa_rrif_2015_template","1491","1499","149 - Potraživanja za ostale nespomenute poreze, doprinose, takse i pristojbe"
"kp_rrif_acc_group_15","l10n_hr_coa_rrif_2015_template","151","159","15 - OSTALA POTRAŽIVANJA OD DRŽAVNIH I DRUGIH INSTITUCIJA"
"kp_rrif_acc_group_150","l10n_hr_coa_rrif_2015_template","1501","1509","150 - Potraživanje za nadoknade bolovanja od HZZO"
"kp_rrif_acc_group_151","l10n_hr_coa_rrif_2015_template","1511","1519","151 - Potraživanja od mirovinskog osiguranja"
"kp_rrif_acc_group_152","l10n_hr_coa_rrif_2015_template","1521","1529","152 - Potraživanja od lokalne samouprave"
"kp_rrif_acc_group_153","l10n_hr_coa_rrif_2015_template","1531","1539","153 - Potraživ. za regrese, premije, stimulac. i držav. potpore"
"kp_rrif_acc_group_154","l10n_hr_coa_rrif_2015_template","1541","1549","154 - Potraživanje od Fonda za otkupljenu ambalažu"
"kp_rrif_acc_group_155","l10n_hr_coa_rrif_2015_template","1551","1559","155 - Ostala potraživanja od državnih institucija"
"kp_rrif_acc_group_159","l10n_hr_coa_rrif_2015_template","1591","1599","159 - Vrijednosno usklađenje potraživanja od države i drugih institucija"
"kp_rrif_acc_group_19","l10n_hr_coa_rrif_2015_template","191","199","19 - PLAĆENI TROŠKOVI BUDUĆEG RAZDOBLJA I OBRAČUNANI PRIHODI"
"kp_rrif_acc_group_190","l10n_hr_coa_rrif_2015_template","1901","1909","190 - Unaprijed plaćeni troškovi"
"kp_rrif_acc_group_191","l10n_hr_coa_rrif_2015_template","1911","1919","191 - Obračunani prihodi (budućeg razdoblja)"
"kp_rrif_acc_group_192","l10n_hr_coa_rrif_2015_template","1921","1929","192 - Unaprijed plaćeni ovisni troškovi nabave (koji nisu na 651)"
"kp_rrif_acc_group_193","l10n_hr_coa_rrif_2015_template","1931","1939","193 - Troškovi kamata iz budućeg razdoblja"
"kp_rrif_acc_group_194","l10n_hr_coa_rrif_2015_template","1941","1949","194 - Unaprijed plaćeni troškovi koncesija (za razdoblje do 12 mj.)"
"kp_rrif_acc_group_195","l10n_hr_coa_rrif_2015_template","1951","1959","195 - Unaprijed plaćene franšize, trgovačko znakovlje, prava i sl. (do 12 mj.)"
"kp_rrif_acc_group_196","l10n_hr_coa_rrif_2015_template","1961","1969","196 - Unaprijed plaćene licencije i patenti (do 12 mj.)"
"kp_rrif_acc_group_197","l10n_hr_coa_rrif_2015_template","1971","1979","197 - Derivativ - instrument zaštite (MRS 39. t. 71.)"
"kp_rrif_acc_group_199","l10n_hr_coa_rrif_2015_template","1991","1999","199 - Ostali plaćeni troškovi budućeg razdoblja"
"kp_rrif_acc_group_2","l10n_hr_coa_rrif_2015_template","21","29","2 - KRATKOROČNE I DUGOROČNE OBVEZE, DUGOROČNA REZERVIRANJA, ODGOĐENA PLAĆANJA I PRIHODI BUDUĆEG RAZDOBLJA"
"kp_rrif_acc_group_20","l10n_hr_coa_rrif_2015_template","201","209","20 - KRATKOROČNE OBVEZE PREMA POVEZANIM PODUZETNICIMA I S OSNOVE UDJELA U REZULTATU (do jedne godine)"
"kp_rrif_acc_group_200","l10n_hr_coa_rrif_2015_template","2001","2009","200 - Obveze prema povezanim poduzetnicima"
"kp_rrif_acc_group_201","l10n_hr_coa_rrif_2015_template","2011","2019","201 - Obveze s osnove udjela u rezultatu"
"kp_rrif_acc_group_21","l10n_hr_coa_rrif_2015_template","211","219","21 - KRATKOROČNE FINANCIJSKE OBVEZE"
"kp_rrif_acc_group_210","l10n_hr_coa_rrif_2015_template","2101","2109","210 - Obveze za izdane čekove"
"kp_rrif_acc_group_211","l10n_hr_coa_rrif_2015_template","2111","2119","211 - Obveze za izdane mjenice"
"kp_rrif_acc_group_212","l10n_hr_coa_rrif_2015_template","2121","2129","212 - Obveze po izdanim vrijednosnim papirima"
"kp_rrif_acc_group_213","l10n_hr_coa_rrif_2015_template","2131","2139","213 - Obveze prema poduzetnicima u kojima postoje sudjelujući interesi (do 20% udjela)"
"kp_rrif_acc_group_214","l10n_hr_coa_rrif_2015_template","2141","2149","214 - Obveze s osnove zajmova, depozita i sl."
"kp_rrif_acc_group_215","l10n_hr_coa_rrif_2015_template","2151","2159","215 - Obveze prema bankama i drugim financijskim institucijama"
"kp_rrif_acc_group_216","l10n_hr_coa_rrif_2015_template","2161","2169","216 - Obveze prema izdavateljima kreditnih kartica (analitika prema kartičarima)"
"kp_rrif_acc_group_217","l10n_hr_coa_rrif_2015_template","2171","2179","217 - Obveze iz eskontnih poslova"
"kp_rrif_acc_group_218","l10n_hr_coa_rrif_2015_template","2181","2189","218 - Obveze s osnove dugotrajne imovine namijenjene prodaji (analitika prema izvorima)"
"kp_rrif_acc_group_22","l10n_hr_coa_rrif_2015_template","221","229","22 - OBVEZE PREMA DOBAVLJAČIMA, ZA PREDUJMOVE I OSTALE OBVEZE"
"kp_rrif_acc_group_220","l10n_hr_coa_rrif_2015_template","2201","2209","220 - Obveze prema dobavljačima u zemlji (analitika prema dobavljačima)"
"kp_rrif_acc_group_221","l10n_hr_coa_rrif_2015_template","2211","2219","221 - Dobavljači iz EU i inozemstva (analitika prema dobavljačima)"
"kp_rrif_acc_group_222","l10n_hr_coa_rrif_2015_template","2221","2229","222 - Dobavljači fizičke osobe"
"kp_rrif_acc_group_223","l10n_hr_coa_rrif_2015_template","2231","2239","223 - Dobavljači komunalnih usluga"
"kp_rrif_acc_group_224","l10n_hr_coa_rrif_2015_template","2241","2249","224 - Obveze za nefakturirane a preuzete isporuke robe i usluge"
"kp_rrif_acc_group_225","l10n_hr_coa_rrif_2015_template","2251","2259","225 - Obveze za predujmove"
"kp_rrif_acc_group_23","l10n_hr_coa_rrif_2015_template","231","239","23 - OBVEZE PREMA ZAPOSLENIMA I OSTALE OBVEZE"
"kp_rrif_acc_group_230","l10n_hr_coa_rrif_2015_template","2301","2309","230 - Obveze prema zaposlenicima"
"kp_rrif_acc_group_2306","l10n_hr_coa_rrif_2015_template","23061","23069","2306 - Obveze za obustave iz neto-plaća i nadoknada plaća"
"kp_rrif_acc_group_231","l10n_hr_coa_rrif_2015_template","2311","2319","231 - Kratkoročne obveze iz nabava i potpora"
"kp_rrif_acc_group_232","l10n_hr_coa_rrif_2015_template","2321","2329","232 - Obveze za kamate (analitika prema dužnicima i vrstama obveza prema nepovezanim društvima)"
"kp_rrif_acc_group_233","l10n_hr_coa_rrif_2015_template","2331","2339","233 - Obveze po obračunu prodanih dobara primljenih u komisiju ili konsignaciju"
"kp_rrif_acc_group_234","l10n_hr_coa_rrif_2015_template","2341","2349","234 - Obveze prema osiguravajućim društvima"
"kp_rrif_acc_group_235","l10n_hr_coa_rrif_2015_template","2351","2359","235 - Obveze iz poslovanja u slobodnoj zoni"
